iter	RMSE
0	298.9041066
1	296.7797055
2	294.3460576
3	292.5328915
4	290.6247188
5	288.1906403
6	285.9666764
7	284.2129553
8	282.9172075
9	281.7810194
10	280.3580058
11	279.3633032
12	277.4333431
13	275.9698777
14	274.1864133
15	273.1927235
16	271.718319
17	270.788322
18	269.5759575
19	269.1200879
20	267.9277726
21	266.9462367
22	265.6770784
23	264.6313412
24	263.4988709
25	262.3557956
26	261.4282668
27	260.9504703
28	260.7624645
29	260.244214
30	259.2787374
31	258.2724094
32	257.6280257
33	256.87388
34	256.5708455
35	256.4864097
36	255.2878947
37	254.5777152
38	253.3502846
39	252.5322447
40	251.7172104
41	250.561304
42	249.5523249
43	249.0586009
44	248.709895
45	248.0525558
46	247.9301356
47	247.1156339
48	246.5209896
49	245.6127362
50	244.7398162
51	244.3009056
52	243.6155929
53	243.214097
54	242.549188
55	241.7827752
56	241.0764882
57	240.5981438
58	240.1692388
59	239.3323327
60	238.4927103
61	238.1405368
62	236.9891725
63	236.3455914
64	234.9937845
65	234.0699509
66	233.5611468
67	233.0096956
68	232.231243
69	231.763913
70	231.0602938
71	230.245162
72	229.1055288
73	228.3795541
74	227.4638728
75	226.6300846
76	225.9814307
77	225.3902825
78	225.2197858
79	224.5860798
80	224.088812
81	222.7879839
82	222.3287181
83	221.643187
84	220.7120377
85	219.9960431
86	219.3238028
87	218.7022156
88	217.8984393
89	217.7371655
90	217.2963662
91	216.4656811
92	215.901624
93	215.1753449
94	214.3407985
95	213.4953362
96	213.0810319
97	212.6873823
98	212.5206419
99	211.5774458
100	210.9118652
101	210.2592427
102	209.6386008
103	208.962759
104	208.5204519
105	207.9850225
106	207.6768745
107	207.243407
108	206.6834761
109	206.1402829
110	205.9643504
111	205.4738928
112	204.5576693
113	204.0973399
114	203.2487807
115	203.0568437
116	202.798985
117	202.4732595
118	202.1874389
119	201.5690482
120	200.0788658
121	199.257026
122	198.4726175
123	198.2447521
124	198.0669221
125	197.8558764
126	196.4784055
127	196.2010211
128	196.0077218
129	195.8232429
130	195.5771367
131	194.2440297
132	194.0088548
133	193.2438635
134	192.5136204
135	192.2889002
136	192.1534091
137	191.9216092
138	190.675954
139	189.9723467
140	189.3007277
141	188.6596716
142	188.0194472
143	187.791784
144	187.5364725
145	186.9565987
146	186.7434152
147	186.6235321
148	185.4208017
149	184.9352429
150	184.3784476
151	184.2616886
152	183.6840494
153	182.5442688
154	182.0073511
155	181.8105045
156	181.6238826
157	181.5163991
158	180.4264382
159	179.9073988
160	179.4623869
161	178.9451515
162	178.5132361
163	177.6538989
164	177.2337826
165	176.9196726
166	176.32162
167	175.4929336
168	175.3894889
169	174.9784445
170	174.3943706
171	173.5966209
172	173.4959645
173	172.986474
174	172.5838598
175	171.7676889
176	171.1928693
177	170.2670987
178	169.8822244
179	169.3869259
180	168.9563467
181	168.7750965
182	168.2101917
183	168.0471808
184	166.8940868
185	166.7115746
186	165.818524
187	165.3969474
188	164.2851461
189	163.8752028
190	163.6968566
191	162.8441148
192	162.3546702
193	161.9566022
194	161.7832355
195	161.3983822
196	160.348757
197	159.5320491
198	159.1573402
199	158.7882647
200	158.1909704
