iter	Passed	Remaining
0	4	913
1	12	1286
2	15	1038
3	16	826
4	23	903
5	29	953
6	35	984
7	40	971
8	47	1015
9	55	1062
10	63	1090
11	64	1023
12	72	1041
13	79	1055
14	86	1067
15	92	1068
16	98	1066
17	105	1073
18	112	1080
19	114	1031
20	120	1036
21	125	1021
22	129	1005
23	133	987
24	137	966
25	140	943
26	142	920
27	145	896
28	145	863
29	149	850
30	151	830
31	153	812
32	156	795
33	158	780
34	161	765
35	161	741
36	164	727
37	166	715
38	169	702
39	171	690
40	174	679
41	176	668
42	179	657
43	180	642
44	182	634
45	185	625
46	186	609
47	188	601
48	190	591
49	193	583
50	195	575
51	198	567
52	200	560
53	201	547
54	203	540
55	206	534
56	208	527
57	211	520
58	213	514
59	215	507
60	218	502
61	220	493
62	222	488
63	225	482
64	227	477
65	230	471
66	232	465
67	235	460
68	238	455
69	240	450
70	243	445
71	245	440
72	248	435
73	250	430
74	253	426
75	256	421
76	259	417
77	261	412
78	261	404
79	264	399
80	267	395
81	269	391
82	272	387
83	274	382
84	277	378
85	279	374
86	282	369
87	285	366
88	286	360
89	287	354
90	289	350
91	292	346
92	295	342
93	297	338
94	300	335
95	303	331
96	305	327
97	307	323
98	308	317
99	310	313
100	313	310
101	315	306
102	318	302
103	320	299
104	323	295
105	325	292
106	328	288
107	332	286
108	334	282
109	337	279
110	340	275
111	342	272
112	345	268
113	348	265
114	351	262
115	353	259
116	355	255
117	358	251
118	360	248
119	363	245
120	366	242
121	369	239
122	372	236
123	375	233
124	379	230
125	382	227
126	384	224
127	387	220
128	389	217
129	391	213
130	394	210
131	397	207
132	399	204
133	402	201
134	405	198
135	407	194
136	410	191
137	412	188
138	415	185
139	417	182
140	420	178
141	422	175
142	425	172
143	428	169
144	430	166
145	433	163
146	436	160
147	439	157
148	442	154
149	445	151
150	448	148
151	450	145
152	453	142
153	455	139
154	458	136
155	460	132
156	463	129
157	465	126
158	468	123
159	470	120
160	474	117
161	476	114
162	479	111
163	482	108
164	484	105
165	487	102
166	489	99
167	492	96
168	494	93
169	497	90
170	500	87
171	502	84
172	505	81
173	508	78
174	511	75
175	513	72
176	516	70
177	519	67
178	522	64
179	524	61
180	526	58
181	529	55
182	531	52
183	534	49
184	536	46
185	539	43
186	542	40
187	545	37
188	547	34
189	550	31
190	553	28
191	555	26
192	558	23
193	561	20
194	563	17
195	565	14
196	569	11
197	571	8
198	573	5
199	576	2
200	578	0
