Date,ATM_ID,Agency,Day_of_Week,Soles_Withdrawn,Dollars_Withdrawn,Event,Holiday,Supply_Cost_Fixed,Supply_Cost_Variable,ATM_Max_Capacity_Soles,ATM_Max_Capacity_Dollars,Opportunity_Cost,Soles_Withdrawn_Lag1,Dollars_Withdrawn_Lag1,Soles_Withdrawn_Lag7,Dollars_Withdrawn_Lag7,Soles_Moving_Avg_7,Dollars_Moving_Avg_7,Total_Withdrawn,Total_Withdrawn_Lag1,Total_Withdrawn_Lag7,Total_Moving_Avg_7
1/8/2023,1,Agency_1,Sunday,20475,8563,Sports Event,0,56,29.04,91905,17296,41.83,25450,1524,40469,10437,26518.57143,7486.142857,29038,26974,50906,34004.71429
1/9/2023,1,Agency_1,Monday,29123,13394,Sports Event,1,56,42.52,91905,17296,34.12,20475,8563,34857,13678,25699.42857,7445.571429,42517,29038,48535,33145
1/10/2023,1,Agency_1,Tuesday,15459,2175,None,0,56,17.63,91905,17296,48.81,29123,13394,18829,4531,25218,7109,17634,42517,23360,32327
1/11/2023,1,Agency_1,Wednesday,53289,10824,Sports Event,1,56,64.11,91905,17296,23.84,15459,2175,41844,11107,26853,7068.571429,64113,17634,52951,33921.57143
1/12/2023,1,Agency_1,Thursday,30505,3655,Festival,0,56,34.16,91905,17296,40.25,53289,10824,17652,6085,28689.14286,6721.428571,34160,64113,23737,35410.57143
1/13/2023,1,Agency_1,Friday,33692,12425,Concert,1,56,46.12,91905,17296,32.52,30505,3655,26523,6915,29713.28571,7508.571429,46117,34160,33438,37221.85714
1/14/2023,1,Agency_1,Saturday,17094,7476,None,0,56,24.57,91905,17296,44.28,33692,12425,25450,1524,28519.57143,8358.857143,24570,46117,26974,36878.42857
1/15/2023,1,Agency_1,Sunday,30592,9759,Sports Event,0,56,40.35,91905,17296,35.93,17094,7476,20475,8563,29964.85714,8529.714286,40351,24570,29038,38494.57143
1/16/2023,1,Agency_1,Monday,33132,20715,Festival,1,56,53.85,91905,17296,26.99,30592,9759,29123,13394,30537.57143,9575.571429,53847,40351,42517,40113.14286
1/17/2023,1,Agency_1,Tuesday,29898,4902,Festival,0,56,34.8,91905,17296,39.68,33132,20715,15459,2175,32600.28571,9965.142857,34800,53847,17634,42565.42857
1/18/2023,1,Agency_1,Wednesday,36168,4348,Sports Event,0,56,40.52,91905,17296,36.93,29898,4902,53289,10824,30154.42857,9040,40516,34800,64113,39194.42857
1/19/2023,1,Agency_1,Thursday,31566,1836,Sports Event,0,56,33.4,91905,17296,40.99,36168,4348,30505,3655,30306,8780.142857,33402,40516,34160,39086.14286
1/20/2023,1,Agency_1,Friday,26050,12835,Festival,1,56,38.89,91905,17296,36.05,31566,1836,33692,12425,29214.28571,8838.714286,38885,33402,46117,38053
1/21/2023,1,Agency_1,Saturday,42645,11805,Concert,0,56,54.45,91905,17296,28.47,26050,12835,17094,7476,32864.42857,9457.142857,54450,38885,24570,42321.57143
1/22/2023,1,Agency_1,Sunday,23305,5716,None,0,56,29.02,91905,17296,42.41,42645,11805,30592,9759,31823.42857,8879.571429,29021,54450,40351,40703
1/23/2023,1,Agency_1,Monday,18910,6052,Festival,0,56,24.96,91905,17296,44.37,23305,5716,33132,20715,29791.71429,6784.857143,24962,29021,53847,36576.57143
1/24/2023,1,Agency_1,Tuesday,26544,12093,Concert,0,56,38.64,91905,17296,36.32,18910,6052,29898,4902,29312.57143,7812.142857,38637,24962,34800,37124.71429
1/25/2023,1,Agency_1,Wednesday,42350,3505,Sports Event,1,56,45.86,91905,17296,34.43,26544,12093,36168,4348,30195.71429,7691.714286,45855,38637,40516,37887.42857
1/26/2023,1,Agency_1,Thursday,42159,10065,Sports Event,1,56,52.22,91905,17296,29.93,42350,3505,31566,1836,31709,8867.285714,52224,45855,33402,40576.28571
1/27/2023,1,Agency_1,Friday,32399,14810,Concert,1,56,47.21,91905,17296,31.49,42159,10065,26050,12835,32616,9149.428571,47209,52224,38885,41765.42857
1/28/2023,1,Agency_1,Saturday,45277,15165,Festival,0,56,60.44,91905,17296,24.81,32399,14810,42645,11805,32992,9629.428571,60442,47209,54450,42621.42857
1/29/2023,1,Agency_1,Sunday,28445,9682,Festival,0,56,38.13,91905,17296,37.06,45277,15165,23305,5716,33726.28571,10196,38127,60442,29021,43922.28571
1/30/2023,1,Agency_1,Monday,32484,11816,Concert,0,56,44.3,91905,17296,33.55,28445,9682,18910,6052,35665.42857,11019.42857,44300,38127,24962,46684.85714
1/31/2023,1,Agency_1,Tuesday,34327,11014,Concert,1,56,45.34,91905,17296,33.19,32484,11816,26544,12093,36777.28571,10865.28571,45341,44300,38637,47642.57143
2/1/2023,1,Agency_1,Wednesday,28212,6204,Sports Event,1,56,34.42,91905,17296,39.61,34327,11014,42350,3505,34757.57143,11250.85714,34416,45341,45855,46008.42857
2/2/2023,1,Agency_1,Thursday,46920,18354,Concert,1,56,65.28,91905,17296,21.75,28212,6204,42159,10065,35437.71429,12435,65274,34416,52224,47872.71429
2/3/2023,1,Agency_1,Friday,19639,7007,None,0,56,26.65,91905,17296,43.34,46920,18354,32399,14810,33614.85714,11320.28571,26646,65274,47209,44935.14286
2/4/2023,1,Agency_1,Saturday,34020,6750,None,1,56,40.77,91905,17296,36.32,19639,7007,45277,15165,32006.71429,10118.14286,40770,26646,60442,42124.85714
2/5/2023,1,Agency_1,Sunday,51026,24987,Sports Event,1,56,76.01,91905,17296,15.06,34020,6750,28445,9682,35232.57143,12304.57143,76013,40770,38127,47537.14286
2/6/2023,1,Agency_1,Monday,19820,8129,None,0,56,27.95,91905,17296,42.46,51026,24987,32484,11816,33423.42857,11777.85714,27949,76013,44300,45201.28571
